x,y,lead
181072,333611,299
181025,333558,277
181165,333537,199
181298,333484,116
181307,333330,117
181390,333260,137
181165,333370,132
181027,333363,150
181060,333231,133
181232,333168,80
181191,333115,86
181032,333031,97
180874,333339,285
180969,333252,183
181011,333161,130
180830,333246,240
180763,333104,133
180694,332972,148
180625,332847,207
180555,332707,284
180642,332708,194
180704,332717,123
180704,332664,110
181153,332925,85
181147,332823,75
181167,332778,76
181008,332777,73
180973,332687,67
180916,332753,87
181352,332946,65
181133,332570,78
180878,332489,64
180829,332450,77
180954,332399,80
180956,332318,82
180710,332330,97
180632,332445,166
180530,332538,217
180478,332578,219
180383,332476,405
180494,332330,102
180561,332193,48
180451,332175,65
180410,332031,62
180355,332299,281
180292,332157,294
180283,332014,211
180282,331861,135
180270,331707,112
180199,331591,162
180135,331552,94
180237,332351,191
180103,332297,405
179973,332255,654
179826,332217,482
179687,332161,276
179792,332035,180
179902,332113,207
180100,332213,541
179604,332059,310
179526,331936,210
179495,331770,158
179489,331633,141
179414,331494,144
179334,331366,181
179255,331264,173
179470,331125,399
179692,330933,45
179852,330801,325
179140,330955,268
179128,330867,252
179065,330864,315
179007,330727,260
179110,330758,237
179032,330645,228
179095,330636,241
179058,330510,201
178810,330666,204
178912,330779,429
178981,330924,462
179076,331005,333
180151,330353,464
179211,331175,159
181118,333214,116
179474,331304,81
179559,331423,131
179022,330873,216
178953,330742,145
178875,330516,163
178803,330349,129
179029,330394,148
178605,330406,214
178701,330557,226
179547,330245,54
179301,330179,70
179405,330567,73
179462,330766,87
179293,330797,76
179180,330710,81
179206,330398,68
179618,330458,66
179782,330540,49
179980,330773,63
180067,331185,48
180162,331387,51
180451,331473,50
180328,331158,39
180276,330963,48
180114,330803,64
179881,330912,84
179774,330921,67
179657,331150,49
179731,331245,48
179717,331441,56
179446,331422,65
179524,331565,84
179644,331730,75
180321,330366,250
180162,331837,81
180029,331720,72
179797,331919,86
179642,331955,94
179849,332142,244
180265,332297,297
180107,332101,96
180462,331947,56
180478,331822,49
180347,331700,50
180862,333116,148
180700,332882,162
180201,331160,37
180173,331923,80
180923,332874,80
180467,331694,49
179917,331325,42
179822,331242,48
179991,331069,41
179120,330578,73
179034,330561,146
179085,330433,95
179236,330046,72
179456,330072,51
179550,329940,54
179445,329807,136
179337,329870,170
179245,329714,179
179024,329733,200
178786,329822,258
179135,329890,93
179030,330082,68
179184,330182,49
179085,330292,173
178875,330311,119
179466,330381,51
180627,330190,124
