,x,y,lead
0,181072,333611,299
1,181025,333558,277
2,181165,333537,199
3,181298,333484,116
4,181307,333330,117
5,181390,333260,137
6,181165,333370,132
7,181027,333363,150
8,181060,333231,133
9,181232,333168,80
10,181191,333115,86
11,181032,333031,97
12,180874,333339,285
13,180969,333252,183
14,181011,333161,130
15,180830,333246,240
16,180763,333104,133
17,180694,332972,148
18,180625,332847,207
19,180555,332707,284
20,180642,332708,194
21,180704,332717,123
22,180704,332664,110
23,181153,332925,85
24,181147,332823,75
25,181167,332778,76
26,181008,332777,73
27,180973,332687,67
28,180916,332753,87
29,181352,332946,65
30,181133,332570,78
31,180878,332489,64
32,180829,332450,77
33,180954,332399,80
34,180956,332318,82
35,180710,332330,97
36,180632,332445,166
37,180530,332538,217
38,180478,332578,219
39,180383,332476,405
40,180494,332330,102
41,180561,332193,48
42,180451,332175,65
43,180410,332031,62
44,180355,332299,281
45,180292,332157,294
46,180283,332014,211
47,180282,331861,135
48,180270,331707,112
49,180199,331591,162
50,180135,331552,94
51,180237,332351,191
52,180103,332297,405
53,179973,332255,654
54,179826,332217,482
55,179687,332161,276
56,179792,332035,180
57,179902,332113,207
58,180100,332213,541
59,179604,332059,310
60,179526,331936,210
61,179495,331770,158
62,179489,331633,141
63,179414,331494,144
64,179334,331366,181
65,179255,331264,173
66,179470,331125,399
67,179692,330933,45
68,179852,330801,325
69,179140,330955,268
70,179128,330867,252
71,179065,330864,315
72,179007,330727,260
73,179110,330758,237
74,179032,330645,228
75,179095,330636,241
76,179058,330510,201
77,178810,330666,204
78,178912,330779,429
79,178981,330924,462
80,179076,331005,333
81,180151,330353,464
82,179211,331175,159
83,181118,333214,116
84,179474,331304,81
85,179559,331423,131
86,179022,330873,216
87,178953,330742,145
88,178875,330516,163
89,178803,330349,129
90,179029,330394,148
91,178605,330406,214
92,178701,330557,226
93,179547,330245,54
94,179301,330179,70
95,179405,330567,73
96,179462,330766,87
97,179293,330797,76
98,179180,330710,81
99,179206,330398,68
100,179618,330458,66
101,179782,330540,49
102,179980,330773,63
103,180067,331185,48
104,180162,331387,51
105,180451,331473,50
106,180328,331158,39
107,180276,330963,48
108,180114,330803,64
109,179881,330912,84
110,179774,330921,67
111,179657,331150,49
112,179731,331245,48
113,179717,331441,56
114,179446,331422,65
115,179524,331565,84
116,179644,331730,75
117,180321,330366,250
118,180162,331837,81
119,180029,331720,72
120,179797,331919,86
121,179642,331955,94
122,179849,332142,244
123,180265,332297,297
124,180107,332101,96
125,180462,331947,56
126,180478,331822,49
127,180347,331700,50
128,180862,333116,148
129,180700,332882,162
130,180201,331160,37
131,180173,331923,80
132,180923,332874,80
133,180467,331694,49
134,179917,331325,42
135,179822,331242,48
136,179991,331069,41
137,179120,330578,73
138,179034,330561,146
139,179085,330433,95
140,179236,330046,72
141,179456,330072,51
142,179550,329940,54
143,179445,329807,136
144,179337,329870,170
145,179245,329714,179
146,179024,329733,200
147,178786,329822,258
148,179135,329890,93
149,179030,330082,68
150,179184,330182,49
151,179085,330292,173
152,178875,330311,119
153,179466,330381,51
154,180627,330190,124
